Datum,Unternehmen,Produkt,Modifikation,Produktionslinie,Schicht,Stueckzahl,Ausschuss,Betriebsstunden,Stillstandszeit_Min,MaxTemperatur,Durchschnittstemperatur,Softwareversion,Firmwareversion,EndOfLine_Test,Materialkosten,Energieverbrauch_kWh,Auftragsnummer,Status,Fehlercode,Mitarbeiter_Produktion
2019-11-30,NextFactory Solutions,IO-Gateway,IOGW-50,Linie 1,Spät,111,8,8.1,16,53.8,45.7,v2.4,f2.7,Bestanden,2310.87,25.23,A-75728,in Produktion,I/O_ERROR,110
2019-11-30,NextFactory Solutions,Automation Unit,AU-700,Linie 4,Früh,234,7,10.2,50,42.0,40.7,v3.5,f3.6,Bestanden,5950.83,17.57,A-35757,Fehler,POWER_FAIL,110
2019-11-30,TechSystems AG,Embedded Box PC,EPC-35,Linie 3,Spät,288,22,6.5,33,85.7,76.5,v1.2,f3.6,Bestanden,2454.67,32.15,A-59704,pausiert,TEMP_HIGH,120
2019-11-30,TechSystems AG,Automation Unit,AU-710,Linie 1,Früh,236,15,11.6,37,76.7,73.0,v4.5,f2.7,Bestanden,6638.2,38.04,A-90836,abgeschlossen,-,120
2019-12-01,Industrium GmbH,IO-Gateway,IOGW-50,Linie 1,Früh,292,24,11.9,36,67.2,60.1,v4.0,f3.6,Bestanden,9028.55,28.65,A-75172,pausiert,I/O_ERROR,90
2019-12-01,ControlWare KG,HMI-Terminal,HMI-10,Linie 4,Spät,236,22,7.0,56,69.7,64.6,v2.7,f1.8,Bestanden,5916.15,24.33,A-78108,pausiert,I/O_ERROR,75
2019-12-01,ControlWare KG,Control Panel,CP-400,Linie 4,Nacht,226,20,11.1,13,89.0,82.2,v1.9,f1.4,Bestanden,6219.49,16.66,A-77071,in Produktion,POWER_FAIL,75
2019-12-01,NextFactory Solutions,Industrie-Server,SRV-500,Linie 2,Spät,52,4,11.1,40,84.3,82.4,v3.9,f3.0,Bestanden,7135.85,9.42,A-39720,Fehler,VIBRATION,110
2019-12-01,Industrium GmbH,Monitoring Unit,MON-800,Linie 2,Früh,101,1,2.1,58,81.1,77.1,v2.3,f1.8,Bestanden,1743.32,39.55,A-50056,in Produktion,VIBRATION,90
2019-12-02,NextFactory Solutions,IO-Gateway,IOGW-50,Linie 3,Nacht,106,4,9.3,13,84.8,75.3,v2.1,f1.7,Bestanden,6585.83,26.64,A-60646,abgeschlossen,I/O_ERROR,110
2019-12-02,Industrium GmbH,Monitoring Unit,MON-820,Linie 1,Früh,84,8,6.7,39,66.6,61.6,v2.7,f2.5,Bestanden,3643.79,36.87,A-80794,pausiert,-,90
2019-12-02,Industrium GmbH,HMI-Terminal,HMI-15,Linie 2,Früh,179,2,8.9,33,42.3,39.1,v3.2,f2.7,Bestanden,9383.13,11.89,A-33692,Fehler,VIBRATION,90
2019-12-02,ControlWare KG,Embedded Box PC,EPC-30,Linie 3,Spät,72,1,4.1,10,87.5,82.9,v1.1,f3.5,Bestanden,9969.86,23.31,A-24573,pausiert,-,75
2019-12-02,Industrium GmbH,Monitoring Unit,MON-820,Linie 2,Früh,117,7,7.1,40,70.5,64.1,v1.0,f3.4,Bestanden,8252.45,30.33,A-25503,abgeschlossen,TEMP_HIGH,90
2019-12-02,NextFactory Solutions,Industrie-Server,SRV-500,Linie 4,Spät,164,7,3.7,20,68.0,58.7,v2.3,f2.5,Bestanden,6846.85,8.77,A-47451,in Produktion,VIBRATION,110
2019-12-03,TechSystems AG,Monitoring Unit,MON-800,Linie 3,Nacht,163,12,3.0,5,46.4,42.0,v3.2,f3.5,Bestanden,6605.8,21.67,A-36711,pausiert,I/O_ERROR,120
2019-12-03,ControlWare KG,Automation Unit,AU-710,Linie 3,Spät,66,2,11.3,5,43.3,39.9,v1.6,f1.7,Bestanden,7699.34,21.93,A-47080,abgeschlossen,-,75
2019-12-03,TechSystems AG,Automation Unit,AU-700,Linie 4,Früh,54,2,11.4,6,42.6,35.4,v2.4,f1.2,Bestanden,1467.72,9.89,A-41057,pausiert,POWER_FAIL,120
2019-12-03,ControlWare KG,Industrie-PC,IPC-150,Linie 3,Früh,150,6,6.2,3,41.1,37.8,v2.3,f1.8,Bestanden,4015.08,39.38,A-30785,pausiert,TEMP_HIGH,75
2019-12-03,Industrium GmbH,Monitoring Unit,MON-800,Linie 4,Spät,224,10,1.0,56,89.0,87.6,v2.0,f2.3,Bestanden,8213.61,21.96,A-59272,Fehler,POWER_FAIL,90
2019-12-03,Industrium GmbH,Robust Panel PC,RPPC-1000,Linie 1,Spät,104,1,1.1,31,46.8,41.3,v3.4,f3.0,Bestanden,9499.12,9.52,A-10179,pausiert,TEMP_HIGH,90
2019-12-04,Industrium GmbH,Automation Unit,AU-700,Linie 1,Nacht,63,3,11.8,56,78.3,69.5,v2.8,f2.3,Bestanden,5118.42,37.31,A-52866,Fehler,VIBRATION,90
2019-12-04,NextFactory Solutions,Embedded Box PC,EPC-30,Linie 3,Spät,145,10,11.6,7,54.1,49.4,v3.3,f3.3,Bestanden,3226.87,19.82,A-22412,in Produktion,VIBRATION,110
2019-12-04,TechSystems AG,IO-Gateway,IOGW-55,Linie 1,Nacht,214,20,5.5,52,78.6,71.5,v3.4,f3.8,Bestanden,1526.67,24.74,A-17435,in Produktion,-,120
2019-12-04,Industrium GmbH,Control Panel,CP-430,Linie 4,Früh,298,25,10.3,56,53.7,45.4,v1.9,f3.8,Bestanden,6274.11,13.84,A-84348,Fehler,I/O_ERROR,90
2019-12-05,ControlWare KG,Industrie-Server,SRV-500,Linie 3,Spät,128,1,8.1,55,86.4,80.1,v2.4,f2.7,Bestanden,3704.46,36.49,A-12016,abgeschlossen,VIBRATION,75
2019-12-05,TechSystems AG,Robust Panel PC,RPPC-1100,Linie 4,Spät,110,5,6.4,24,81.1,75.8,v1.5,f1.9,Bestanden,6080.71,38.94,A-33327,in Produktion,POWER_FAIL,120
2019-12-05,Industrium GmbH,IO-Gateway,IOGW-50,Linie 1,Spät,37,1,5.0,19,49.3,44.6,v3.8,f1.5,Bestanden,1467.86,33.93,A-12468,Fehler,-,90
2019-12-06,NextFactory Solutions,Industrie-Server,SRV-500,Linie 3,Spät,202,18,5.9,24,81.1,79.4,v2.8,f3.7,Bestanden,2509.6,6.92,A-99356,in Produktion,POWER_FAIL,110
2019-12-06,NextFactory Solutions,Automation Unit,AU-700,Linie 4,Früh,30,1,12.0,53,67.7,58.6,v4.8,f2.4,Bestanden,6876.12,30.66,A-23823,in Produktion,POWER_FAIL,110
2019-12-06,ControlWare KG,Edge Controller,EC-250,Linie 4,Nacht,156,5,10.6,39,86.7,80.5,v2.2,f2.9,Bestanden,7723.8,34.79,A-95895,in Produktion,TEMP_HIGH,75
2019-12-06,Industrium GmbH,Robust Panel PC,RPPC-1100,Linie 1,Spät,42,3,5.3,17,60.1,57.5,v2.5,f2.3,Bestanden,7168.23,16.02,A-36019,pausiert,-,90
2019-12-07,Industrium GmbH,Robust Panel PC,RPPC-1000,Linie 3,Spät,296,20,4.4,33,48.8,45.6,v1.4,f3.0,Nicht bestanden,7713.53,22.07,A-66557,Fehler,I/O_ERROR,90
2019-12-07,ControlWare KG,Embedded Box PC,EPC-35,Linie 2,Spät,215,4,11.5,49,74.8,72.8,v1.9,f2.2,Bestanden,8390.97,13.31,A-67207,Fehler,TEMP_HIGH,75
2019-12-07,Industrium GmbH,HMI-Terminal,HMI-10,Linie 1,Spät,46,1,8.0,45,86.5,79.0,v3.6,f1.3,Bestanden,8466.0,6.87,A-21409,pausiert,VIBRATION,90
2019-12-08,Industrium GmbH,Edge Controller,EC-200,Linie 3,Nacht,295,21,8.1,3,77.2,72.2,v1.3,f3.9,Bestanden,2414.13,14.06,A-50640,abgeschlossen,I/O_ERROR,90
2019-12-08,NextFactory Solutions,Robust Panel PC,RPPC-1000,Linie 1,Früh,34,2,1.1,1,69.0,62.1,v1.1,f2.1,Bestanden,9604.83,35.42,A-82063,in Produktion,I/O_ERROR,110
2019-12-08,TechSystems AG,Monitoring Unit,MON-820,Linie 2,Spät,256,18,8.5,56,72.3,63.8,v2.5,f3.1,Bestanden,6691.12,6.49,A-23308,pausiert,-,120
2019-12-08,NextFactory Solutions,Embedded Box PC,EPC-30,Linie 1,Früh,33,1,1.6,57,67.5,64.1,v2.3,f3.5,Bestanden,9906.25,11.34,A-73631,in Produktion,-,110
2019-12-08,TechSystems AG,Control Panel,CP-470,Linie 3,Nacht,258,7,6.8,1,55.8,50.3,v4.7,f2.0,Bestanden,1894.62,11.39,A-22216,in Produktion,POWER_FAIL,120
2019-12-08,TechSystems AG,Monitoring Unit,MON-820,Linie 2,Nacht,143,2,6.0,34,62.7,60.2,v1.0,f3.1,Bestanden,5681.24,35.17,A-63857,pausiert,I/O_ERROR,120
2019-12-09,TechSystems AG,Control Panel,CP-470,Linie 3,Früh,212,5,2.8,14,45.1,40.7,v2.2,f3.2,Bestanden,9603.06,25.44,A-57830,Fehler,TEMP_HIGH,120
2019-12-09,ControlWare KG,IO-Gateway,IOGW-50,Linie 2,Nacht,153,8,7.3,20,55.1,53.8,v2.8,f2.1,Bestanden,5915.21,26.17,A-12067,pausiert,POWER_FAIL,75
2019-12-09,TechSystems AG,Edge Controller,EC-200,Linie 4,Spät,211,11,4.1,15,47.2,41.2,v2.9,f3.4,Nicht bestanden,1597.52,12.6,A-29694,Fehler,POWER_FAIL,120
2019-12-09,NextFactory Solutions,Monitoring Unit,MON-800,Linie 3,Spät,104,6,8.8,16,80.0,76.9,v3.3,f2.5,Bestanden,6260.61,15.06,A-27682,pausiert,I/O_ERROR,110
2019-12-10,ControlWare KG,Robust Panel PC,RPPC-1000,Linie 2,Früh,30,2,3.8,3,85.8,75.9,v2.5,f2.2,Bestanden,4831.58,7.41,A-93744,abgeschlossen,POWER_FAIL,75
2019-12-10,TechSystems AG,Embedded Box PC,EPC-35,Linie 1,Früh,179,14,3.5,32,84.1,79.9,v1.3,f2.5,Bestanden,7053.17,14.23,A-24146,abgeschlossen,TEMP_HIGH,120
2019-12-10,NextFactory Solutions,IO-Gateway,IOGW-50,Linie 3,Früh,21,1,10.5,25,72.3,68.1,v1.8,f1.7,Nicht bestanden,6056.35,26.92,A-32500,abgeschlossen,-,110
2019-12-10,NextFactory Solutions,Automation Unit,AU-710,Linie 2,Früh,59,5,1.9,44,62.3,60.2,v3.9,f3.4,Bestanden,1291.58,28.9,A-43508,abgeschlossen,I/O_ERROR,110
2019-12-10,ControlWare KG,Industrie-PC,IPC-110,Linie 2,Nacht,53,0,8.2,47,53.4,50.1,v3.8,f1.7,Bestanden,5759.95,14.97,A-42672,in Produktion,-,75
2019-12-10,TechSystems AG,Industrie-Server,SRV-500,Linie 1,Nacht,194,15,6.0,9,40.1,37.2,v2.1,f3.1,Bestanden,4607.69,17.14,A-45178,in Produktion,VIBRATION,120
2019-12-11,Industrium GmbH,Industrie-PC,IPC-150,Linie 2,Früh,285,23,1.7,34,61.4,56.8,v1.1,f2.3,Bestanden,6073.9,16.25,A-45574,in Produktion,TEMP_HIGH,90
2019-12-11,NextFactory Solutions,Automation Unit,AU-710,Linie 3,Nacht,138,9,4.6,33,44.6,42.7,v2.1,f1.3,Bestanden,8143.9,38.67,A-43069,Fehler,I/O_ERROR,110
2019-12-11,ControlWare KG,Edge Controller,EC-250,Linie 4,Spät,66,2,8.1,27,44.0,36.6,v3.8,f3.9,Bestanden,4955.23,38.75,A-83558,abgeschlossen,I/O_ERROR,75
2019-12-11,Industrium GmbH,Industrie-Server,SRV-500,Linie 2,Spät,268,8,4.1,58,46.7,39.8,v2.9,f2.3,Bestanden,4970.0,16.6,A-93977,pausiert,POWER_FAIL,90
2019-12-12,Industrium GmbH,Embedded Box PC,EPC-30,Linie 1,Spät,210,17,10.6,33,49.1,39.6,v4.5,f1.2,Bestanden,2856.98,14.22,A-41896,abgeschlossen,I/O_ERROR,90
2019-12-12,NextFactory Solutions,Edge Controller,EC-210,Linie 4,Spät,250,14,9.9,31,83.1,79.1,v4.8,f3.7,Bestanden,3488.43,32.34,A-35974,in Produktion,VIBRATION,110
2019-12-12,TechSystems AG,Monitoring Unit,MON-800,Linie 2,Früh,210,10,5.7,15,50.5,45.1,v1.2,f2.8,Bestanden,1323.39,34.12,A-85970,pausiert,-,120
2019-12-13,TechSystems AG,Embedded Box PC,EPC-30,Linie 3,Früh,279,3,4.9,16,75.6,66.6,v2.7,f2.6,Bestanden,3533.93,15.47,A-82722,pausiert,-,120
2019-12-13,TechSystems AG,Industrie-Server,SRV-520,Linie 4,Früh,113,9,7.9,7,77.7,70.8,v2.6,f3.0,Bestanden,2496.97,32.8,A-56215,in Produktion,POWER_FAIL,120
2019-12-13,ControlWare KG,Industrie-Server,SRV-500,Linie 1,Nacht,157,11,6.4,36,85.7,79.3,v4.8,f2.5,Bestanden,9623.83,17.22,A-44601,pausiert,TEMP_HIGH,75
2019-12-13,TechSystems AG,Control Panel,CP-470,Linie 4,Spät,221,21,11.4,10,48.6,39.1,v1.2,f2.5,Bestanden,9954.18,7.76,A-78559,in Produktion,VIBRATION,120
2019-12-14,ControlWare KG,Automation Unit,AU-700,Linie 3,Nacht,20,1,9.6,41,58.1,49.3,v4.4,f3.5,Bestanden,2839.12,20.59,A-11253,pausiert,POWER_FAIL,75
2019-12-14,TechSystems AG,Industrie-Server,SRV-500,Linie 1,Nacht,86,1,5.9,35,63.5,55.4,v4.8,f2.7,Bestanden,2230.55,17.61,A-56286,abgeschlossen,POWER_FAIL,120
2019-12-14,NextFactory Solutions,Embedded Box PC,EPC-35,Linie 4,Nacht,198,10,4.9,15,75.0,73.6,v2.0,f1.0,Bestanden,3549.09,7.89,A-20319,pausiert,POWER_FAIL,110
2019-12-14,NextFactory Solutions,HMI-Terminal,HMI-15,Linie 1,Spät,299,11,5.1,5,88.6,79.3,v4.7,f2.8,Bestanden,2819.41,12.35,A-90559,Fehler,VIBRATION,110
2019-12-14,Industrium GmbH,Edge Controller,EC-200,Linie 3,Nacht,70,3,4.5,0,75.8,67.2,v1.5,f2.8,Bestanden,2323.82,36.72,A-89644,Fehler,I/O_ERROR,90
2019-12-15,Industrium GmbH,Edge Controller,EC-250,Linie 1,Früh,110,9,9.8,10,53.7,48.8,v4.8,f1.5,Bestanden,3177.16,31.97,A-74762,in Produktion,POWER_FAIL,90
2019-12-15,TechSystems AG,Embedded Box PC,EPC-30,Linie 2,Spät,99,7,2.1,15,85.5,78.6,v3.6,f2.5,Bestanden,6785.04,10.41,A-80665,abgeschlossen,-,120
2019-12-15,Industrium GmbH,IO-Gateway,IOGW-50,Linie 3,Früh,184,11,3.5,56,65.0,61.7,v4.2,f2.1,Nicht bestanden,4182.33,34.36,A-67721,pausiert,I/O_ERROR,90
2019-12-15,NextFactory Solutions,Industrie-PC,IPC-110,Linie 4,Früh,278,22,1.7,16,88.4,84.0,v1.9,f2.1,Bestanden,1056.9,18.0,A-77987,Fehler,-,110
2019-12-15,ControlWare KG,IO-Gateway,IOGW-55,Linie 2,Spät,155,15,3.5,34,57.4,50.2,v3.2,f3.5,Bestanden,4731.32,30.94,A-48854,abgeschlossen,-,75
2019-12-16,NextFactory Solutions,Industrie-PC,IPC-100,Linie 2,Früh,224,7,4.9,44,51.7,50.2,v2.8,f1.6,Nicht bestanden,7238.84,16.06,A-77804,abgeschlossen,-,110
2019-12-16,Industrium GmbH,Control Panel,CP-470,Linie 3,Spät,181,2,6.2,32,81.0,75.7,v3.9,f2.6,Bestanden,5971.63,38.6,A-30980,pausiert,VIBRATION,90
2019-12-16,TechSystems AG,Embedded Box PC,EPC-30,Linie 3,Früh,203,7,4.5,9,68.5,65.0,v1.8,f3.9,Bestanden,9880.83,8.24,A-48874,pausiert,TEMP_HIGH,120
2019-12-16,NextFactory Solutions,Industrie-PC,IPC-100,Linie 4,Nacht,192,11,9.7,57,62.3,59.8,v3.8,f2.6,Bestanden,2349.89,10.75,A-33932,pausiert,TEMP_HIGH,110
2019-12-17,ControlWare KG,Embedded Box PC,EPC-35,Linie 3,Früh,254,17,5.7,12,57.7,55.6,v3.1,f1.5,Bestanden,6701.33,35.85,A-87717,pausiert,POWER_FAIL,75
2019-12-17,NextFactory Solutions,IO-Gateway,IOGW-55,Linie 4,Nacht,93,5,9.4,13,64.9,59.2,v3.5,f3.7,Nicht bestanden,7121.92,16.0,A-94436,in Produktion,I/O_ERROR,110
2019-12-17,Industrium GmbH,Control Panel,CP-470,Linie 1,Spät,237,13,5.2,3,54.0,44.5,v3.2,f2.2,Bestanden,3367.39,18.8,A-93946,in Produktion,POWER_FAIL,90
2019-12-17,NextFactory Solutions,Edge Controller,EC-250,Linie 4,Früh,81,7,3.0,27,73.7,67.0,v2.5,f2.3,Bestanden,7071.95,35.46,A-22515,in Produktion,TEMP_HIGH,110
2019-12-17,NextFactory Solutions,Control Panel,CP-430,Linie 1,Nacht,153,6,7.7,27,41.5,32.9,v1.7,f1.6,Bestanden,3301.67,27.58,A-57961,abgeschlossen,POWER_FAIL,110
2019-12-18,ControlWare KG,Edge Controller,EC-250,Linie 3,Früh,93,4,11.8,49,57.3,50.2,v2.5,f1.9,Bestanden,9502.2,6.28,A-28504,pausiert,VIBRATION,75
2019-12-18,TechSystems AG,Edge Controller,EC-210,Linie 3,Früh,208,9,3.7,18,78.1,75.4,v4.5,f1.3,Nicht bestanden,3011.82,23.43,A-86047,abgeschlossen,POWER_FAIL,120
2019-12-18,NextFactory Solutions,Industrie-Server,SRV-520,Linie 3,Nacht,165,12,9.2,36,56.5,52.0,v3.1,f3.9,Bestanden,7087.87,12.53,A-17270,abgeschlossen,I/O_ERROR,110
2019-12-18,ControlWare KG,Automation Unit,AU-710,Linie 2,Nacht,108,5,6.6,35,46.1,38.3,v3.2,f1.6,Bestanden,5472.78,9.16,A-75637,Fehler,-,75
2019-12-18,Industrium GmbH,Industrie-Server,SRV-500,Linie 1,Nacht,58,3,6.9,3,71.5,69.8,v1.4,f2.3,Bestanden,1249.25,21.37,A-41998,in Produktion,POWER_FAIL,90
2019-12-19,TechSystems AG,Control Panel,CP-430,Linie 4,Nacht,288,15,5.7,48,53.8,45.6,v1.6,f2.5,Bestanden,6926.31,17.48,A-89465,in Produktion,VIBRATION,120
2019-12-19,NextFactory Solutions,Monitoring Unit,MON-820,Linie 3,Früh,99,2,6.4,3,77.7,68.0,v1.0,f3.8,Bestanden,2196.95,38.93,A-69329,pausiert,POWER_FAIL,110
2019-12-19,NextFactory Solutions,Control Panel,CP-400,Linie 2,Früh,141,3,5.9,59,45.1,41.7,v3.9,f1.7,Bestanden,9511.26,6.19,A-28942,in Produktion,I/O_ERROR,110
2019-12-19,Industrium GmbH,Automation Unit,AU-700,Linie 4,Früh,79,1,5.3,46,78.2,72.3,v4.2,f2.5,Nicht bestanden,7265.72,31.37,A-32344,in Produktion,TEMP_HIGH,90
2019-12-19,ControlWare KG,IO-Gateway,IOGW-55,Linie 2,Früh,205,15,2.4,35,59.2,55.6,v1.6,f2.4,Bestanden,1976.93,32.12,A-67568,Fehler,I/O_ERROR,75
2019-12-19,TechSystems AG,IO-Gateway,IOGW-55,Linie 1,Spät,50,3,11.8,43,70.7,66.1,v3.3,f1.4,Bestanden,3154.73,20.89,A-77013,abgeschlossen,POWER_FAIL,120
2019-12-20,NextFactory Solutions,Industrie-Server,SRV-520,Linie 4,Spät,240,20,5.7,53,73.8,67.4,v3.2,f3.6,Bestanden,4083.78,23.88,A-48140,in Produktion,POWER_FAIL,110
2019-12-20,NextFactory Solutions,Automation Unit,AU-710,Linie 4,Spät,292,11,8.9,39,55.9,51.0,v3.2,f2.0,Bestanden,1452.93,27.3,A-57312,Fehler,I/O_ERROR,110
2019-12-20,NextFactory Solutions,Edge Controller,EC-200,Linie 3,Spät,87,8,6.8,43,75.3,73.1,v4.0,f2.9,Bestanden,4242.36,21.16,A-89998,abgeschlossen,TEMP_HIGH,110
2019-12-20,NextFactory Solutions,Automation Unit,AU-700,Linie 2,Spät,238,17,8.6,20,58.6,52.0,v4.1,f2.8,Bestanden,1983.34,24.68,A-34434,in Produktion,POWER_FAIL,110
2019-12-20,Industrium GmbH,Industrie-PC,IPC-100,Linie 4,Früh,266,6,8.2,47,51.1,48.7,v3.9,f2.6,Bestanden,1737.73,16.26,A-16165,Fehler,-,90
2019-12-21,ControlWare KG,Robust Panel PC,RPPC-1000,Linie 4,Nacht,180,12,5.6,41,55.8,45.9,v4.3,f3.9,Bestanden,1097.4,31.53,A-47494,pausiert,TEMP_HIGH,75
2019-12-21,NextFactory Solutions,Control Panel,CP-430,Linie 4,Nacht,106,4,4.0,57,78.7,76.7,v1.3,f2.3,Bestanden,6367.68,7.66,A-15822,Fehler,TEMP_HIGH,110
2019-12-21,NextFactory Solutions,Industrie-PC,IPC-110,Linie 3,Nacht,175,10,9.5,7,64.1,61.8,v1.7,f2.3,Bestanden,6300.86,8.51,A-48562,in Produktion,I/O_ERROR,110
2019-12-21,Industrium GmbH,Automation Unit,AU-700,Linie 4,Nacht,124,9,3.3,25,66.8,61.2,v1.2,f1.9,Bestanden,6403.15,12.85,A-30642,abgeschlossen,POWER_FAIL,90
2019-12-21,TechSystems AG,HMI-Terminal,HMI-15,Linie 2,Nacht,119,7,2.4,45,70.3,68.1,v2.4,f3.6,Bestanden,8669.93,16.57,A-90855,Fehler,-,120
2019-12-22,Industrium GmbH,Edge Controller,EC-250,Linie 3,Spät,211,9,8.5,18,61.7,54.4,v1.4,f3.0,Bestanden,4236.89,11.19,A-20158,in Produktion,-,90
2019-12-22,NextFactory Solutions,IO-Gateway,IOGW-50,Linie 2,Nacht,89,7,4.1,2,42.2,37.9,v1.5,f3.9,Bestanden,8902.27,5.47,A-19839,abgeschlossen,TEMP_HIGH,110
2019-12-22,TechSystems AG,Edge Controller,EC-200,Linie 1,Spät,173,11,11.5,15,80.0,73.9,v1.6,f2.3,Bestanden,3297.84,9.7,A-33550,in Produktion,VIBRATION,120
2019-12-22,NextFactory Solutions,Edge Controller,EC-250,Linie 1,Nacht,275,5,4.2,52,75.1,72.3,v1.5,f3.9,Bestanden,7226.92,23.71,A-89036,in Produktion,-,110
2019-12-22,NextFactory Solutions,Monitoring Unit,MON-800,Linie 2,Nacht,226,18,5.1,43,73.9,67.1,v2.4,f2.9,Bestanden,5994.06,27.31,A-56054,Fehler,TEMP_HIGH,110
2019-12-23,NextFactory Solutions,HMI-Terminal,HMI-10,Linie 1,Nacht,158,8,10.0,0,56.3,52.1,v3.7,f3.0,Bestanden,8817.2,34.35,A-36697,in Produktion,I/O_ERROR,110
2019-12-23,TechSystems AG,Automation Unit,AU-700,Linie 2,Spät,291,26,8.1,17,75.8,71.4,v1.7,f2.0,Bestanden,9920.4,22.25,A-52858,in Produktion,POWER_FAIL,120
2019-12-23,Industrium GmbH,Control Panel,CP-430,Linie 3,Spät,130,6,5.5,34,69.4,61.6,v1.7,f1.9,Bestanden,8112.76,10.91,A-52189,pausiert,POWER_FAIL,90
2019-12-23,TechSystems AG,Robust Panel PC,RPPC-1100,Linie 2,Früh,189,6,2.6,12,42.3,36.5,v1.9,f1.7,Bestanden,6824.19,12.16,A-68330,in Produktion,VIBRATION,120
2019-12-23,ControlWare KG,Industrie-PC,IPC-150,Linie 1,Früh,92,4,5.9,18,56.4,52.9,v3.7,f1.4,Bestanden,9456.27,7.42,A-95752,Fehler,TEMP_HIGH,75
2019-12-24,TechSystems AG,HMI-Terminal,HMI-15,Linie 4,Früh,280,12,1.9,23,84.9,76.9,v4.0,f2.0,Bestanden,3216.31,19.26,A-83418,pausiert,VIBRATION,120
2019-12-24,Industrium GmbH,Industrie-Server,SRV-500,Linie 1,Spät,128,5,10.9,32,54.8,47.3,v4.0,f3.1,Bestanden,7337.89,14.45,A-65743,abgeschlossen,TEMP_HIGH,90
2019-12-24,NextFactory Solutions,Industrie-Server,SRV-500,Linie 1,Spät,187,16,7.1,17,77.6,69.5,v3.2,f2.0,Bestanden,6984.16,13.47,A-47061,abgeschlossen,VIBRATION,110
2019-12-24,Industrium GmbH,Automation Unit,AU-700,Linie 4,Spät,27,0,8.2,52,83.1,82.0,v2.8,f2.7,Bestanden,6700.82,36.18,A-47086,in Produktion,TEMP_HIGH,90
2019-12-25,Industrium GmbH,Monitoring Unit,MON-820,Linie 4,Spät,25,2,10.7,30,65.8,56.5,v3.9,f3.1,Bestanden,5276.03,18.28,A-38294,in Produktion,VIBRATION,90
2019-12-25,TechSystems AG,Robust Panel PC,RPPC-1000,Linie 4,Früh,208,2,6.1,31,42.0,33.1,v3.0,f1.7,Bestanden,5444.53,34.65,A-58605,in Produktion,I/O_ERROR,120
2019-12-25,ControlWare KG,Embedded Box PC,EPC-35,Linie 3,Spät,188,13,5.3,48,52.4,46.8,v1.6,f2.5,Bestanden,9088.62,19.03,A-91926,in Produktion,VIBRATION,75
2019-12-26,Industrium GmbH,Edge Controller,EC-250,Linie 3,Spät,54,0,6.4,59,48.8,39.5,v4.8,f3.7,Bestanden,3982.56,7.21,A-65039,Fehler,VIBRATION,90
2019-12-26,TechSystems AG,Edge Controller,EC-210,Linie 1,Spät,213,11,11.4,7,40.8,31.1,v4.1,f3.4,Bestanden,7567.15,18.97,A-53981,Fehler,VIBRATION,120
2019-12-26,Industrium GmbH,Automation Unit,AU-700,Linie 3,Spät,272,25,5.9,27,63.8,59.4,v4.5,f1.6,Bestanden,2822.13,17.02,A-72118,Fehler,VIBRATION,90
2019-12-26,ControlWare KG,Control Panel,CP-470,Linie 4,Spät,269,8,10.9,39,78.8,76.5,v4.6,f1.5,Bestanden,6436.13,36.45,A-94166,abgeschlossen,TEMP_HIGH,75
2019-12-27,ControlWare KG,IO-Gateway,IOGW-55,Linie 3,Früh,121,4,3.3,15,80.0,71.5,v2.0,f1.9,Bestanden,1150.01,9.78,A-86202,Fehler,POWER_FAIL,75
2019-12-27,Industrium GmbH,Industrie-PC,IPC-110,Linie 3,Früh,88,8,2.9,56,77.8,70.3,v3.4,f3.9,Bestanden,1852.74,38.45,A-35692,pausiert,TEMP_HIGH,90
2019-12-27,Industrium GmbH,Industrie-PC,IPC-150,Linie 4,Spät,120,4,10.7,52,67.5,64.4,v3.2,f1.4,Bestanden,5504.63,38.12,A-53223,abgeschlossen,VIBRATION,90
2019-12-27,ControlWare KG,Monitoring Unit,MON-820,Linie 3,Früh,91,6,8.0,31,58.2,54.6,v4.6,f1.2,Bestanden,9620.95,14.67,A-44303,pausiert,TEMP_HIGH,75
2019-12-27,NextFactory Solutions,Industrie-PC,IPC-100,Linie 3,Nacht,117,9,7.7,23,82.5,74.1,v1.5,f3.9,Bestanden,9121.67,7.37,A-22747,Fehler,I/O_ERROR,110
2019-12-27,NextFactory Solutions,Industrie-PC,IPC-100,Linie 1,Früh,25,1,9.2,6,46.3,41.4,v3.1,f2.7,Bestanden,3194.1,9.95,A-62765,pausiert,VIBRATION,110
2019-12-28,NextFactory Solutions,Control Panel,CP-400,Linie 4,Spät,182,8,7.2,12,78.2,75.4,v2.8,f3.7,Bestanden,2878.03,26.01,A-55655,pausiert,TEMP_HIGH,110
2019-12-28,NextFactory Solutions,Industrie-PC,IPC-150,Linie 2,Früh,148,1,3.4,15,65.4,59.6,v2.4,f2.6,Bestanden,6983.48,18.81,A-17195,abgeschlossen,I/O_ERROR,110
2019-12-28,ControlWare KG,Automation Unit,AU-710,Linie 3,Nacht,182,12,8.1,52,86.3,81.2,v4.1,f2.2,Bestanden,1770.16,11.11,A-90308,abgeschlossen,POWER_FAIL,75
2019-12-28,TechSystems AG,IO-Gateway,IOGW-55,Linie 1,Spät,136,2,7.2,44,67.6,60.4,v3.6,f2.8,Bestanden,5285.54,14.58,A-30265,Fehler,POWER_FAIL,120
